Folio,record_type,tipo,ramo,reinsurer,participation,reasegurado,asegurado,direccion,periodo_inicio,periodo_fin,actividad,estimado_ingresos ,interes_asegurable,limite_max_res ,riesgos_cubiertos,condiciones_reaseguro,exclusiones,deducible_General ,deducible_Robo ,deducible_Terremoto ,deducible_Electricos ,deducible_Ingresos ,prima_neta ,soporte,base_cobertura,territorialidad,jurisdiccion,dias_pago,anexos_clausulas,texto_clausulas,panel_participantes,moneda
NC/000004/2017/2018,Soporte,Reaseguro Facultativo,Transportes,Jupiter,100,"Seguros Central, S.A.","Servicios Integrales del Valle, S.A. de C.V.","Monterrey, Nuevo León",14/11/17 0:00,14/11/18 0:00,Operación de transporte terrestre,52642594,Daños materiales y pérdidas por cualquier causa,214880292,"Daños por choque, incendios, robos en vehículos","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",89352,52953,92512,21504,35014,7952574,100,Claims Made,México,Leyes mexicanas,52,"NMA 2737, NMA 2738, Endorsement 5678, NMA 3001, LMA 3100A, LMA 3110, LMA 3092, NMA 2800","Cooperacion de reclamos, Control de Pérdidas; All Risks; Protección Legal; Limitación de Sanciones; Cobertura Adicional X; Control de Reclamos; Control de Daños",Jupiter 100%,MXN
NC/000005/2024/2025,Pre-nota de Cobertura,Reaseguro Facultativo,Responsabilidad Ambiental,"Orion, Taurus, Pegasus, Scorpius, Uranus, Jupiter, Draco, Saturn, Aquarius, Mercury, Leo, Perseus, Neptune, UrsaMinor",100,Grupo Financiero Unión,"Transporte Global, S.A.","San Luis Potosí, San Luis Potosí",07/07/24 0:00,07/07/25 0:00,Gestión medioambiental,98969689,Daños materiales y pérdidas por cualquier causa,380369867,"Contaminación, derrames de petróleo","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",60857,72296,68944,77422,87839,3474754,100,Claims Made,México,Leyes mexicanas,34,"NMA 2737, NMA 2738, Endorsement 1234, LMA 3092, LMA 3200, Endorsement 9101","Cooperacion de reclamos, Control de Pérdidas; Exclusión de Guerra y Guerra Civil; Control de Reclamos; Cobertura Extendida; Cláusula Complementaria","Orion 2%, Taurus 5%, Pegasus 14%, Scorpius 11%, Uranus 3%, Jupiter 3%, Draco 8%, Saturn 1%, Aquarius 10%, Mercury 11%, Leo 14%, Perseus 7%, Neptune 2%, UrsaMinor 9%",USD
NC/000005/2024/2025,Soporte,Reaseguro Facultativo,Responsabilidad Ambiental,Orion,2,Grupo Financiero Unión,"Transporte Global, S.A.","San Luis Potosí, San Luis Potosí",07/07/24 0:00,07/07/25 0:00,Gestión medioambiental,98969689,Daños materiales y pérdidas por cualquier causa,380369867,"Contaminación, derrames de petróleo","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",60857,72296,68944,77422,87839,69495,2,Claims Made,México,Leyes mexicanas,20,"NMA 2737, NMA 2738, Endorsement 1234, LMA 3092, LMA 3200, Endorsement 9101","Cooperacion de reclamos, Control de Pérdidas; Exclusión de Guerra y Guerra Civil; Control de Reclamos; Cobertura Extendida; Cláusula Complementaria","Orion 2%, Taurus 5%, Pegasus 14%, Scorpius 11%, Uranus 3%, Jupiter 3%, Draco 8%, Saturn 1%, Aquarius 10%, Mercury 11%, Leo 14%, Perseus 7%, Neptune 2%, UrsaMinor 9%",USD
NC/000005/2024/2025,Soporte,Reaseguro Facultativo,Responsabilidad Ambiental,Taurus,5,Grupo Financiero Unión,"Transporte Global, S.A.","San Luis Potosí, San Luis Potosí",07/07/24 0:00,07/07/25 0:00,Gestión medioambiental,98969689,Daños materiales y pérdidas por cualquier causa,380369867,"Contaminación, derrames de petróleo","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",60857,72296,68944,77422,87839,173738,5,Claims Made,México,Leyes mexicanas,24,"NMA 2737, NMA 2738, Endorsement 1234, LMA 3092, LMA 3200, Endorsement 9101","Cooperacion de reclamos, Control de Pérdidas; Exclusión de Guerra y Guerra Civil; Control de Reclamos; Cobertura Extendida; Cláusula Complementaria","Orion 2%, Taurus 5%, Pegasus 14%, Scorpius 11%, Uranus 3%, Jupiter 3%, Draco 8%, Saturn 1%, Aquarius 10%, Mercury 11%, Leo 14%, Perseus 7%, Neptune 2%, UrsaMinor 9%",USD
NC/000005/2024/2025,Soporte,Reaseguro Facultativo,Responsabilidad Ambiental,Pegasus,14,Grupo Financiero Unión,"Transporte Global, S.A.","San Luis Potosí, San Luis Potosí",07/07/24 0:00,07/07/25 0:00,Gestión medioambiental,98969689,Daños materiales y pérdidas por cualquier causa,380369867,"Contaminación, derrames de petróleo","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",60857,72296,68944,77422,87839,486466,14,Claims Made,México,Leyes mexicanas,60,"NMA 2737, NMA 2738, Endorsement 1234, LMA 3092, LMA 3200, Endorsement 9101","Cooperacion de reclamos, Control de Pérdidas; Exclusión de Guerra y Guerra Civil; Control de Reclamos; Cobertura Extendida; Cláusula Complementaria","Orion 2%, Taurus 5%, Pegasus 14%, Scorpius 11%, Uranus 3%, Jupiter 3%, Draco 8%, Saturn 1%, Aquarius 10%, Mercury 11%, Leo 14%, Perseus 7%, Neptune 2%, UrsaMinor 9%",USD
NC/000005/2024/2025,Soporte,Reaseguro Facultativo,Responsabilidad Ambiental,Scorpius,11,Grupo Financiero Unión,"Transporte Global, S.A.","San Luis Potosí, San Luis Potosí",07/07/24 0:00,07/07/25 0:00,Gestión medioambiental,98969689,Daños materiales y pérdidas por cualquier causa,380369867,"Contaminación, derrames de petróleo","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",60857,72296,68944,77422,87839,382223,11,Claims Made,México,Leyes mexicanas,23,"NMA 2737, NMA 2738, Endorsement 1234, LMA 3092, LMA 3200, Endorsement 9101","Cooperacion de reclamos, Control de Pérdidas; Exclusión de Guerra y Guerra Civil; Control de Reclamos; Cobertura Extendida; Cláusula Complementaria","Orion 2%, Taurus 5%, Pegasus 14%, Scorpius 11%, Uranus 3%, Jupiter 3%, Draco 8%, Saturn 1%, Aquarius 10%, Mercury 11%, Leo 14%, Perseus 7%, Neptune 2%, UrsaMinor 9%",USD
NC/000005/2024/2025,Soporte,Reaseguro Facultativo,Responsabilidad Ambiental,Uranus,3,Grupo Financiero Unión,"Transporte Global, S.A.","San Luis Potosí, San Luis Potosí",07/07/24 0:00,07/07/25 0:00,Gestión medioambiental,98969689,Daños materiales y pérdidas por cualquier causa,380369867,"Contaminación, derrames de petróleo","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",60857,72296,68944,77422,87839,104243,3,Claims Made,México,Leyes mexicanas,34,"NMA 2737, NMA 2738, Endorsement 1234, LMA 3092, LMA 3200, Endorsement 9101","Cooperacion de reclamos, Control de Pérdidas; Exclusión de Guerra y Guerra Civil; Control de Reclamos; Cobertura Extendida; Cláusula Complementaria","Orion 2%, Taurus 5%, Pegasus 14%, Scorpius 11%, Uranus 3%, Jupiter 3%, Draco 8%, Saturn 1%, Aquarius 10%, Mercury 11%, Leo 14%, Perseus 7%, Neptune 2%, UrsaMinor 9%",USD
NC/000005/2024/2025,Soporte,Reaseguro Facultativo,Responsabilidad Ambiental,Jupiter,3,Grupo Financiero Unión,"Transporte Global, S.A.","San Luis Potosí, San Luis Potosí",07/07/24 0:00,07/07/25 0:00,Gestión medioambiental,98969689,Daños materiales y pérdidas por cualquier causa,380369867,"Contaminación, derrames de petróleo","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",60857,72296,68944,77422,87839,104243,3,Claims Made,México,Leyes mexicanas,24,"NMA 2737, NMA 2738, Endorsement 1234, LMA 3092, LMA 3200, Endorsement 9101","Cooperacion de reclamos, Control de Pérdidas; Exclusión de Guerra y Guerra Civil; Control de Reclamos; Cobertura Extendida; Cláusula Complementaria","Orion 2%, Taurus 5%, Pegasus 14%, Scorpius 11%, Uranus 3%, Jupiter 3%, Draco 8%, Saturn 1%, Aquarius 10%, Mercury 11%, Leo 14%, Perseus 7%, Neptune 2%, UrsaMinor 9%",USD
NC/000005/2024/2025,Soporte,Reaseguro Facultativo,Responsabilidad Ambiental,Draco,8,Grupo Financiero Unión,"Transporte Global, S.A.","San Luis Potosí, San Luis Potosí",07/07/24 0:00,07/07/25 0:00,Gestión medioambiental,98969689,Daños materiales y pérdidas por cualquier causa,380369867,"Contaminación, derrames de petróleo","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",60857,72296,68944,77422,87839,277980,8,Claims Made,México,Leyes mexicanas,22,"NMA 2737, NMA 2738, Endorsement 1234, LMA 3092, LMA 3200, Endorsement 9101","Cooperacion de reclamos, Control de Pérdidas; Exclusión de Guerra y Guerra Civil; Control de Reclamos; Cobertura Extendida; Cláusula Complementaria","Orion 2%, Taurus 5%, Pegasus 14%, Scorpius 11%, Uranus 3%, Jupiter 3%, Draco 8%, Saturn 1%, Aquarius 10%, Mercury 11%, Leo 14%, Perseus 7%, Neptune 2%, UrsaMinor 9%",USD
NC/000005/2024/2025,Soporte,Reaseguro Facultativo,Responsabilidad Ambiental,Saturn,1,Grupo Financiero Unión,"Transporte Global, S.A.","San Luis Potosí, San Luis Potosí",07/07/24 0:00,07/07/25 0:00,Gestión medioambiental,98969689,Daños materiales y pérdidas por cualquier causa,380369867,"Contaminación, derrames de petróleo","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",60857,72296,68944,77422,87839,34748,1,Claims Made,México,Leyes mexicanas,41,"NMA 2737, NMA 2738, Endorsement 1234, LMA 3092, LMA 3200, Endorsement 9101","Cooperacion de reclamos, Control de Pérdidas; Exclusión de Guerra y Guerra Civil; Control de Reclamos; Cobertura Extendida; Cláusula Complementaria","Orion 2%, Taurus 5%, Pegasus 14%, Scorpius 11%, Uranus 3%, Jupiter 3%, Draco 8%, Saturn 1%, Aquarius 10%, Mercury 11%, Leo 14%, Perseus 7%, Neptune 2%, UrsaMinor 9%",USD
NC/000005/2024/2025,Soporte,Reaseguro Facultativo,Responsabilidad Ambiental,Aquarius,10,Grupo Financiero Unión,"Transporte Global, S.A.","San Luis Potosí, San Luis Potosí",07/07/24 0:00,07/07/25 0:00,Gestión medioambiental,98969689,Daños materiales y pérdidas por cualquier causa,380369867,"Contaminación, derrames de petróleo","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",60857,72296,68944,77422,87839,347475,10,Claims Made,México,Leyes mexicanas,24,"NMA 2737, NMA 2738, Endorsement 1234, LMA 3092, LMA 3200, Endorsement 9101","Cooperacion de reclamos, Control de Pérdidas; Exclusión de Guerra y Guerra Civil; Control de Reclamos; Cobertura Extendida; Cláusula Complementaria","Orion 2%, Taurus 5%, Pegasus 14%, Scorpius 11%, Uranus 3%, Jupiter 3%, Draco 8%, Saturn 1%, Aquarius 10%, Mercury 11%, Leo 14%, Perseus 7%, Neptune 2%, UrsaMinor 9%",USD
NC/000005/2024/2025,Soporte,Reaseguro Facultativo,Responsabilidad Ambiental,Mercury,11,Grupo Financiero Unión,"Transporte Global, S.A.","San Luis Potosí, San Luis Potosí",07/07/24 0:00,07/07/25 0:00,Gestión medioambiental,98969689,Daños materiales y pérdidas por cualquier causa,380369867,"Contaminación, derrames de petróleo","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",60857,72296,68944,77422,87839,382223,11,Claims Made,México,Leyes mexicanas,52,"NMA 2737, NMA 2738, Endorsement 1234, LMA 3092, LMA 3200, Endorsement 9101","Cooperacion de reclamos, Control de Pérdidas; Exclusión de Guerra y Guerra Civil; Control de Reclamos; Cobertura Extendida; Cláusula Complementaria","Orion 2%, Taurus 5%, Pegasus 14%, Scorpius 11%, Uranus 3%, Jupiter 3%, Draco 8%, Saturn 1%, Aquarius 10%, Mercury 11%, Leo 14%, Perseus 7%, Neptune 2%, UrsaMinor 9%",USD
NC/000005/2024/2025,Soporte,Reaseguro Facultativo,Responsabilidad Ambiental,Leo,14,Grupo Financiero Unión,"Transporte Global, S.A.","San Luis Potosí, San Luis Potosí",07/07/24 0:00,07/07/25 0:00,Gestión medioambiental,98969689,Daños materiales y pérdidas por cualquier causa,380369867,"Contaminación, derrames de petróleo","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",60857,72296,68944,77422,87839,486466,14,Claims Made,México,Leyes mexicanas,35,"NMA 2737, NMA 2738, Endorsement 1234, LMA 3092, LMA 3200, Endorsement 9101","Cooperacion de reclamos, Control de Pérdidas; Exclusión de Guerra y Guerra Civil; Control de Reclamos; Cobertura Extendida; Cláusula Complementaria","Orion 2%, Taurus 5%, Pegasus 14%, Scorpius 11%, Uranus 3%, Jupiter 3%, Draco 8%, Saturn 1%, Aquarius 10%, Mercury 11%, Leo 14%, Perseus 7%, Neptune 2%, UrsaMinor 9%",USD
NC/000005/2024/2025,Soporte,Reaseguro Facultativo,Responsabilidad Ambiental,Perseus,7,Grupo Financiero Unión,"Transporte Global, S.A.","San Luis Potosí, San Luis Potosí",07/07/24 0:00,07/07/25 0:00,Gestión medioambiental,98969689,Daños materiales y pérdidas por cualquier causa,380369867,"Contaminación, derrames de petróleo","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",60857,72296,68944,77422,87839,243233,7,Claims Made,México,Leyes mexicanas,37,"NMA 2737, NMA 2738, Endorsement 1234, LMA 3092, LMA 3200, Endorsement 9101","Cooperacion de reclamos, Control de Pérdidas; Exclusión de Guerra y Guerra Civil; Control de Reclamos; Cobertura Extendida; Cláusula Complementaria","Orion 2%, Taurus 5%, Pegasus 14%, Scorpius 11%, Uranus 3%, Jupiter 3%, Draco 8%, Saturn 1%, Aquarius 10%, Mercury 11%, Leo 14%, Perseus 7%, Neptune 2%, UrsaMinor 9%",USD
NC/000005/2024/2025,Soporte,Reaseguro Facultativo,Responsabilidad Ambiental,Neptune,2,Grupo Financiero Unión,"Transporte Global, S.A.","San Luis Potosí, San Luis Potosí",07/07/24 0:00,07/07/25 0:00,Gestión medioambiental,98969689,Daños materiales y pérdidas por cualquier causa,380369867,"Contaminación, derrames de petróleo","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",60857,72296,68944,77422,87839,69495,2,Claims Made,México,Leyes mexicanas,51,"NMA 2737, NMA 2738, Endorsement 1234, LMA 3092, LMA 3200, Endorsement 9101","Cooperacion de reclamos, Control de Pérdidas; Exclusión de Guerra y Guerra Civil; Control de Reclamos; Cobertura Extendida; Cláusula Complementaria","Orion 2%, Taurus 5%, Pegasus 14%, Scorpius 11%, Uranus 3%, Jupiter 3%, Draco 8%, Saturn 1%, Aquarius 10%, Mercury 11%, Leo 14%, Perseus 7%, Neptune 2%, UrsaMinor 9%",USD
NC/000005/2024/2025,Soporte,Reaseguro Facultativo,Responsabilidad Ambiental,UrsaMinor,9,Grupo Financiero Unión,"Transporte Global, S.A.","San Luis Potosí, San Luis Potosí",07/07/24 0:00,07/07/25 0:00,Gestión medioambiental,98969689,Daños materiales y pérdidas por cualquier causa,380369867,"Contaminación, derrames de petróleo","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",60857,72296,68944,77422,87839,312728,9,Claims Made,México,Leyes mexicanas,33,"NMA 2737, NMA 2738, Endorsement 1234, LMA 3092, LMA 3200, Endorsement 9101","Cooperacion de reclamos, Control de Pérdidas; Exclusión de Guerra y Guerra Civil; Control de Reclamos; Cobertura Extendida; Cláusula Complementaria","Orion 2%, Taurus 5%, Pegasus 14%, Scorpius 11%, Uranus 3%, Jupiter 3%, Draco 8%, Saturn 1%, Aquarius 10%, Mercury 11%, Leo 14%, Perseus 7%, Neptune 2%, UrsaMinor 9%",USD
NC/000006/2016/2017,Pre-nota de Cobertura,Reaseguro Facultativo,Líneas Financieras,"Pisces, Phoenix",100,Protección Total S.A.,Corporación Turística México,"Guadalajara, Jalisco",14/11/16 0:00,14/11/17 0:00,Servicios financieros,56177213,Daños materiales y pérdidas por cualquier causa,260731958,"Fraude, robos de identidad","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",32899,27944,72772,64473,34322,1008841,100,Ocurrencia,México,Leyes mexicanas,54,"NMA 2737, LMA 3110, LMA 3100A, NMA 3001, NMA 2800, Endorsement 5678, LMA 3105, NMA 2705, NMA 2738, Endorsement 9101, LMA 6000A","Cooperacion de reclamos, Cobertura Adicional X; Limitación de Sanciones; Protección Legal; Control de Daños; All Risks; Ampliación de Cobertura Y; Acción Razonable; Control de Pérdidas; Cláusula Complementaria; Gastos de Defensa Incluidos","Pisces 70%, Phoenix 30%",MXN
NC/000006/2016/2017,Soporte,Reaseguro Facultativo,Líneas Financieras,Pisces,70,Protección Total S.A.,Corporación Turística México,"Guadalajara, Jalisco",14/11/16 0:00,14/11/17 0:00,Servicios financieros,56177213,Daños materiales y pérdidas por cualquier causa,260731958,"Fraude, robos de identidad","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",32899,27944,72772,64473,34322,706189,70,Ocurrencia,México,Leyes mexicanas,35,"NMA 2737, LMA 3110, LMA 3100A, NMA 3001, NMA 2800, Endorsement 5678, LMA 3105, NMA 2705, NMA 2738, Endorsement 9101, LMA 6000A, LMA 3092","Cooperacion de reclamos, Cobertura Adicional X; Limitación de Sanciones; Protección Legal; Control de Daños; All Risks; Ampliación de Cobertura Y; Acción Razonable; Control de Pérdidas; Cláusula Complementaria; Gastos de Defensa Incluidos; Control de Reclamos","Pisces 70%, Phoenix 30%",MXN
NC/000006/2016/2017,Soporte,Reaseguro Facultativo,Líneas Financieras,Phoenix,30,Protección Total S.A.,Corporación Turística México,"Guadalajara, Jalisco",14/11/16 0:00,14/11/17 0:00,Servicios financieros,56177213,Daños materiales y pérdidas por cualquier causa,260731958,"Fraude, robos de identidad","Gastos de defensa incluidos, texto LMA 6000A","Daños intencionales, guerra, actos delictivos",32899,27944,72772,64473,34322,302652,30,Ocurrencia,México,Leyes mexicanas,33,"NMA 2737, LMA 3110, LMA 3100A, NMA 3001, NMA 2800, Endorsement 5678, LMA 3105, NMA 2705, Endorsement 9101, LMA 6000A, LMA 3200","Cooperacion de reclamos, Cobertura Adicional X; Limitación de Sanciones; Protección Legal; Control de Daños; All Risks; Ampliación de Cobertura Y; Acción Razonable; Cláusula Complementaria; Gastos de Defensa Incluidos; Cobertura Extendida","Pisces 70%, Phoenix 30%",MXN
